von;datum_von;cluster_von;titel_von;nach;datum_nach;cluster_nach;titel_nach;konfidenz;label;cross_cluster;review_status;kommentar
jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;11.07.2024;ausland;Jenseits von Maastricht: Wie Europa an Souveränität gewinnen kann;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;die-folgen-einer-euro-internationalisierung;14.11.2025;geldpolitik und anleihemärkte;Die Folgen einer Euro-Internationalisierung;hoch;europas-truempfe-gegen-trump;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;hoch;die-zukunft-energieintensiver-industrien;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;11.07.2024;ausland;Jenseits von Maastricht: Wie Europa an Souveränität gewinnen kann;hoch;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;nein;;
eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;ein-kommunales-investitionsprogramm-fuer-das-naechste-jahrzehnt;14.04.2021;haushalt;Ein kommunales Investitionsprogramm für das nächste Jahrzehnt;hoch;Eine neue deutsche Finanzpolitik;ja;;
was-kosten-unsere-schulden;01.04.2021;geldpolitik und anleihemärkte;Was kosten unsere Schulden? Der Gegenwartswert deutscher Staatsschulden;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;Eine neue deutsche Finanzpolitik;ja;;
warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;nein;;
rechtsgutachten-konjunkturkomponente;01.11.2021;fiskalpolitik;Rechtsgutachten zur Konjunkturkomponente;warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;hoch;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;nein;;
weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;;;nein;;
statement-european-parliamentary-week-2023;28.02.2023;fiskalpolitik;Reforming EU economic governance - Statement at the European Parliamentary Week 2023;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;weiterentwicklung-europaeische-fiskalregeln;nein;;
